ChangeTV init done
---------- 1544913856.7247972 ----------

---------- 1544913861.7320147 ----------

---------- 1544913866.739179 ----------

---------- 1544913871.7463517 ----------

---------- 1544913876.7535138 ----------

---------- 1544913881.7606888 ----------

---------- 1544913886.767885 ----------

---------- 1544913891.775077 ----------

---------- 1544913896.7823107 ----------

---------- 1544913901.7894728 ----------

---------- 1544913906.7967017 ----------

---------- 1544913911.8038685 ----------

---------- 1544913916.8111026 ----------

---------- 1544913921.8183308 ----------

---------- 1544913926.825572 ----------

---------- 1544913931.8328512 ----------

---------- 1544913936.84012 ----------

---------- 1544913941.847365 ----------

---------- 1544913946.85463 ----------

---------- 1544913951.8618457 ----------

---------- 1544913956.8690906 ----------

---------- 1544913961.8763554 ----------

---------- 1544913966.8836064 ----------

---------- 1544913971.8908436 ----------

---------- 1544913976.898062 ----------

---------- 1544913981.9052389 ----------

---------- 1544913986.9124482 ----------

---------- 1544913991.9196851 ----------

---------- 1544913996.9269724 ----------

---------- 1544914001.9342382 ----------

---------- 1544914006.9414992 ----------

---------- 1544914011.948757 ----------

---------- 1544914016.9560158 ----------

---------- 1544914021.9632373 ----------

---------- 1544914026.9705036 ----------

---------- 1544914031.9776793 ----------

---------- 1544914036.9848952 ----------

---------- 1544914041.9921436 ----------

---------- 1544914046.9993818 ----------

---------- 1544914052.0066338 ----------

---------- 1544914057.013888 ----------

---------- 1544914062.0211062 ----------

---------- 1544914067.0283308 ----------

---------- 1544914072.0355597 ----------

---------- 1544914077.0428314 ----------

---------- 1544914082.0500298 ----------

---------- 1544914087.057222 ----------

---------- 1544914092.0644658 ----------

---------- 1544914097.0716603 ----------

---------- 1544914102.078897 ----------

---------- 1544914107.086093 ----------

---------- 1544914112.0932357 ----------

---------- 1544914117.1004333 ----------

---------- 1544914122.1075907 ----------

---------- 1544914127.1147966 ----------

---------- 1544914132.1219864 ----------

---------- 1544914137.1291635 ----------

---------- 1544914142.1363497 ----------

---------- 1544914147.1435134 ----------

---------- 1544914152.1507435 ----------

---------- 1544914157.1575632 ----------

---------- 1544914162.1647923 ----------

---------- 1544914167.1720212 ----------

---------- 1544914172.179257 ----------

---------- 1544914177.1865418 ----------

---------- 1544914182.19376 ----------

---------- 1544914187.200979 ----------

---------- 1544914192.2082279 ----------

---------- 1544914197.2154331 ----------

---------- 1544914202.222587 ----------

---------- 1544914207.2297518 ----------

---------- 1544914212.2369764 ----------

---------- 1544914217.2442057 ----------

---------- 1544914222.251417 ----------

---------- 1544914227.2586122 ----------

---------- 1544914232.265828 ----------

---------- 1544914237.273043 ----------

---------- 1544914242.2802713 ----------

---------- 1544914247.2874641 ----------

---------- 1544914252.2946382 ----------

---------- 1544914257.301807 ----------

---------- 1544914262.3089793 ----------

---------- 1544914267.3149745 ----------

---------- 1544914272.322213 ----------

---------- 1544914277.3293986 ----------

---------- 1544914282.336579 ----------

---------- 1544914287.3437293 ----------

---------- 1544914292.3509593 ----------

---------- 1544914297.358228 ----------

---------- 1544914302.3654337 ----------

---------- 1544914307.3726673 ----------

---------- 1544914312.3798723 ----------

---------- 1544914317.3871152 ----------

---------- 1544914322.394353 ----------

---------- 1544914327.4015663 ----------

---------- 1544914332.408775 ----------

---------- 1544914337.4160085 ----------

---------- 1544914342.4231997 ----------

---------- 1544914347.430436 ----------

---------- 1544914352.4376543 ----------

---------- 1544914357.4449077 ----------

---------- 1544914362.4521236 ----------

---------- 1544914367.4593353 ----------

---------- 1544914372.4665613 ----------

---------- 1544914377.4737875 ----------

---------- 1544914382.480996 ----------

---------- 1544914387.4882245 ----------

---------- 1544914392.4954317 ----------

---------- 1544914397.5026739 ----------

---------- 1544914402.5098739 ----------

---------- 1544914407.5170674 ----------

---------- 1544914412.5242655 ----------

---------- 1544914417.5314555 ----------

---------- 1544914422.5386517 ----------

---------- 1544914427.5458648 ----------

---------- 1544914432.5530353 ----------

---------- 1544914437.5602763 ----------

---------- 1544914442.5674968 ----------

---------- 1544914447.5747426 ----------

---------- 1544914452.5819716 ----------

---------- 1544914457.5891917 ----------

---------- 1544914462.5964205 ----------

---------- 1544914467.6036255 ----------

---------- 1544914472.610868 ----------

---------- 1544914477.618104 ----------

---------- 1544914482.625299 ----------

---------- 1544914487.6325145 ----------

---------- 1544914492.6397069 ----------

---------- 1544914497.646946 ----------

---------- 1544914502.6541262 ----------

---------- 1544914507.6613336 ----------

---------- 1544914512.6685157 ----------

---------- 1544914517.6757176 ----------

---------- 1544914522.6829457 ----------

---------- 1544914527.6901875 ----------

---------- 1544914532.6973798 ----------

---------- 1544914537.7046158 ----------

